id,application_id,name,full_name,pan,mobile,email,gender,age,date_of_birth,cibil,cibil_score,monthly_income,loan_amt,loan_amount_requested,tenure_months,existing_emi,type,loan_type,city,employment_type,loan_purpose,indicative_rate,property_type,created
RET-000001,RET-000001,Pallavi Khandelwal,Pallavi Khandelwal,YLARZ1151E,9952278252,pallavi1@rediffmail.com,O,57,1969-04-02,755,755,26281,1900000,1900000,60,3987,personal_loan,personal_loan,Bengaluru,salaried,Vehicle purchase,14.51,,2024-07-11
RET-000002,RET-000002,Zeenat Brar,Zeenat Brar,CONWW3349P,9368572111,zeenat2@hotmail.com,O,29,1997-12-22,665,665,53431,400000,400000,60,1562,auto_loan,auto_loan,Bengaluru,self_employed_non_professional,Travel,12.76,,2024-07-19
RET-000003,RET-000003,Nagesh Mukherjee,Nagesh Mukherjee,CJVPF7901R,9538194822,nagesh3@hotmail.com,M,51,1975-07-28,569,569,56224,1600000,1600000,24,9148,personal_loan,personal_loan,Bengaluru,self_employed_non_professional,Home appliances,16.88,,2025-04-26
RET-000004,RET-000004,Abhirup Upadhyay,Abhirup Upadhyay,OFSYR1208L,9400566750,abhirup4@hotmail.com,O,37,1989-05-19,776,776,222250,800000,800000,48,44706,personal_loan,personal_loan,Surat,self_employed_professional,Home renovation,14.6,,2025-11-18
RET-000005,RET-000005,Adhira Nijjar,Adhira Nijjar,YVBNT9250H,9325723491,adhira5@outlook.com,O,55,1971-03-19,844,844,55069,800000,800000,36,2091,personal_loan,personal_loan,Bengaluru,self_employed_professional,Personal expenses,16.96,,2024-04-20
RET-000006,RET-000006,Vedant George,Vedant George,OTOCL1670L,9223000976,vedant6@outlook.com,M,33,1993-10-26,720,720,34615,3700000,3700000,300,10004,home_loan,home_loan,Ahmedabad,salaried,Home renovation,11.46,under_construction,2025-08-20
RET-000007,RET-000007,Saanvi Roy,Saanvi Roy,OOWQT7218X,9125770718,saanvi7@gmail.com,M,44,1982-11-05,854,854,272557,2400000,2400000,24,27391,personal_loan,personal_loan,Kolkata,self_employed_non_professional,Business expansion,12.02,,2024-10-18
RET-000008,RET-000008,Aditya Marathe,Aditya Marathe,XFZOJ9634C,9694768351,aditya8@yahoo.co.in,M,30,1996-06-12,678,678,35224,5000000,5000000,300,2474,home_loan,home_loan,Bengaluru,self_employed_non_professional,Education,14.42,ready_to_move,2025-03-01
RET-000009,RET-000009,Lekha Verma,Lekha Verma,LLBLB7970U,9986418429,lekha9@outlook.com,M,56,1970-11-15,573,573,96562,100000,100000,36,22708,personal_loan,personal_loan,Mumbai,self_employed_non_professional,Consumer durables,12.15,,2025-10-05
RET-000010,RET-000010,Antara Rodrigues,Antara Rodrigues,HHPIR7781B,9432535851,antara10@yahoo.co.in,M,41,1985-10-18,790,790,46957,130000,130000,12,8857,gold_loan,gold_loan,Jaipur,self_employed_non_professional,Business expansion,16.0,,2024-09-20
RET-000011,RET-000011,Mrinal Ahlawat,Mrinal Ahlawat,TCRNT9762C,9142835213,mrinal11@outlook.com,F,31,1995-11-14,606,606,26440,1900000,1900000,240,8671,home_loan,home_loan,Bengaluru,self_employed_non_professional,Solar panel installation,14.03,under_construction,2024-06-01
RET-000012,RET-000012,Anand Sequeira,Anand Sequeira,JLXMM1725H,9794263518,anand12@rediffmail.com,M,38,1988-10-09,785,785,42845,800000,800000,48,13266,auto_loan,auto_loan,Bengaluru,self_employed_professional,Vehicle purchase,10.07,,2026-01-13
RET-000013,RET-000013,Vedant Chitale,Vedant Chitale,UMOFL2611V,9913901663,vedant13@hotmail.com,F,58,1968-02-01,794,794,328136,300000,300000,24,12712,personal_loan,personal_loan,Mumbai,self_employed_non_professional,Travel,15.02,,2025-06-11
RET-000014,RET-000014,Devika Ramachandran,Devika Ramachandran,KEPBS3623V,9609696611,devika14@hotmail.com,O,27,1999-12-14,681,681,44750,300000,300000,48,715,auto_loan,auto_loan,Delhi,self_employed_professional,Business expansion,14.16,,2024-08-08
RET-000015,RET-000015,Pallak Chakraborty,Pallak Chakraborty,ZUVEQ7006H,9917662200,pallak15@yahoo.co.in,O,49,1977-11-20,835,835,313880,8000000,8000000,300,72766,home_loan,home_loan,Bengaluru,salaried,Home renovation,12.74,ready_to_move,2025-04-05
