id,application_id,name,business_name,pan,gstin,mobile,email,promoter_name,promoter_cibil_score,cibil,annual_turnover,turnover,loan_amt,loan_amount_requested,business_vintage_years,vintage,type,loan_type,collateral,collateral_value,city,industry,loan_purpose,created
SME-000001,SME-000001,Lakshmi Exports Associates,Lakshmi Exports Associates,LTRRA8488U,29LTRRA7232PZK,9581997170,lakshmi1@gmail.com,Aaryan Annamalai,670,670,4100000,4100000,1600000,1600000,19,19,working_capital,working_capital,0,0,Bengaluru,Retail Trade,Technology upgrade,2025-05-03
SME-000002,SME-000002,Sterling Alloys Pvt Ltd,Sterling Alloys Pvt Ltd,JHLXW2889A,27JHLXW7567NZJ,9604666627,sterling2@gmail.com,Vishal Birla,805,805,7400000,7400000,3600000,3600000,13,13,term_loan,term_loan,9420000.0,9420000.0,Mumbai,Retail Trade,Invoice financing,2024-04-28
SME-000003,SME-000003,Zest Forgings Group,Zest Forgings Group,SHOPY7071C,29SHOPY5440CZC,9251537633,zest3@outlook.com,Tejaswi Singhania,823,823,44100000,44100000,24000000,24000000,3,3,term_loan,term_loan,24740000.0,24740000.0,Bengaluru,Manufacturing,Project finance,2025-11-27
SME-000004,SME-000004,Elite Infotech Pvt Ltd,Elite Infotech Pvt Ltd,DNWIE8098A,36DNWIE9162NZO,9861589696,elite4@gmail.com,Aaliya Jain,785,785,39100000,39100000,2100000,2100000,14,14,working_capital,working_capital,0,0,Hyderabad,IT / Software Services,Business expansion,2024-12-28
SME-000005,SME-000005,Maxim Constructions Associates,Maxim Constructions Associates,UVLDA2091J,29UVLDA9898ZZK,9904234529,maxim5@yahoo.co.in,Abhi Natarajan,874,874,4300000,4300000,1100000,1100000,19,19,term_loan,term_loan,3470000.0,3470000.0,Bengaluru,Pharmaceuticals,Shop renovation,2024-07-21
SME-000006,SME-000006,Shree Developers Pvt Ltd,Shree Developers Pvt Ltd,TLHVY3910W,27TLHVY1355WZK,9330020990,shree6@outlook.com,Adhiti Apte,866,866,2700000,2700000,1500000,1500000,20,20,working_capital,working_capital,0,0,Pune,Textiles & Garments,Business expansion,2024-07-04
SME-000007,SME-000007,Dynamic Events Co-op,Dynamic Events Co-op,BXTMC9854R,07BXTMC4518SZL,9233508243,dynamic7@hotmail.com,Aishwarya Singh,698,698,63100000,63100000,25200000,25200000,16,16,working_capital,working_capital,0,0,Delhi,Textiles & Garments,Export financing,2026-01-01
SME-000008,SME-000008,Shakti Engineering Pvt Ltd,Shakti Engineering Pvt Ltd,WAPIB4323L,36WAPIB7049KZT,9240842174,shakti8@yahoo.co.in,Nimisha Pandya,898,898,3100000,3100000,1700000,1700000,8,8,term_loan,term_loan,1300000.0,1300000.0,Hyderabad,IT / Software Services,Trade finance,2026-01-01
SME-000009,SME-000009,Rich Services Co-op,Rich Services Co-op,FFQXH6258I,23FFQXH5862JZC,9990622878,rich9@hotmail.com,Reshma Murthy,681,681,61500000,61500000,3000000,3000000,20,20,term_loan,term_loan,70060000.0,70060000.0,Indore,Real Estate,Invoice financing,2024-03-12
SME-000010,SME-000010,Vega Traders LLP,Vega Traders LLP,SERGT9023H,33SERGT7018AZL,9842120796,vega10@yahoo.co.in,Adhira Ahlawat,767,767,17600000,17600000,8200000,8200000,11,11,invoice_discounting,invoice_discounting,0,0,Chennai,Retail Trade,Export financing,2024-04-02
SME-000011,SME-000011,Uma Chemicals Associates,Uma Chemicals Associates,PJEDG6161I,36PJEDG5091RZB,9523848815,uma11@hotmail.com,Lekha Savarkar,699,699,9600000,9600000,1300000,1300000,8,8,term_loan,term_loan,7090000.0,7090000.0,Hyderabad,Food Processing,Capacity expansion,2025-04-23
SME-000012,SME-000012,Golden Pharmaceuticals Associates,Golden Pharmaceuticals Associates,KLIAR2195U,29KLIAR4804VZP,9505847858,golden12@gmail.com,Meghana Hayer,593,593,2100000,2100000,700000,700000,5,5,term_loan,term_loan,2250000.0,2250000.0,Bengaluru,Retail Trade,Inventory purchase,2025-04-24
SME-000013,SME-000013,Savita Yarns Pvt Ltd,Savita Yarns Pvt Ltd,BUNIL7517D,27BUNIL8881DZI,9666873958,savita13@outlook.com,Aahan Marathe,670,670,64000000,64000000,7600000,7600000,11,11,equipment_finance,equipment_finance,37020000.0,37020000.0,Mumbai,Retail Trade,Machinery purchase,2024-06-25
SME-000014,SME-000014,Kalpa Diagnostics Group,Kalpa Diagnostics Group,KTENU1575Y,29KTENU5807YZQ,9838974725,kalpa14@yahoo.co.in,Harsha Phogat,581,581,5300000,5300000,3100000,3100000,19,19,equipment_finance,equipment_finance,3800000.0,3800000.0,Bengaluru,Retail Trade,New branch setup,2025-01-08
SME-000015,SME-000015,Atharva Security & Co,Atharva Security & Co,ILSRA5266K,29ILSRA5264EZP,9732808229,atharva15@yahoo.co.in,Nandita Kale,788,788,2300000,2300000,1300000,1300000,12,12,working_capital,working_capital,0,0,Bengaluru,Textiles & Garments,Machinery purchase,2024-06-30
SME-000016,SME-000016,Titan Pharmaceuticals Group,Titan Pharmaceuticals Group,OKFNJ2838H,29OKFNJ8169ZZZ,9783725048,titan16@yahoo.co.in,Sonam Dwivedi,824,824,4700000,4700000,900000,900000,5,5,term_loan,term_loan,5350000.0,5350000.0,Bengaluru,Pharmaceuticals,Invoice financing,2025-04-25
SME-000017,SME-000017,Synergy Software LLP,Synergy Software LLP,GDISW6182E,29GDISW8214ZZS,9793430796,synergy17@outlook.com,Aarchi Birla,857,857,17800000,17800000,7400000,7400000,11,11,working_capital,working_capital,0,0,Bengaluru,IT / Software Services,Machinery purchase,2025-06-10
SME-000018,SME-000018,Horizon Services Pvt Ltd,Horizon Services Pvt Ltd,LLSWR9732F,27LLSWR1497RZQ,9363303667,horizon18@rediffmail.com,Aashna Hariharan,725,725,4300000,4300000,700000,700000,21,21,invoice_discounting,invoice_discounting,0,0,Mumbai,Education,Project finance,2025-07-11
SME-000019,SME-000019,Rising Foods Pvt Ltd,Rising Foods Pvt Ltd,TNVSU8788L,07TNVSU4666TZZ,9618658407,rising19@outlook.com,Advaita Brar,733,733,44300000,44300000,13600000,13600000,12,12,working_capital,working_capital,0,0,Delhi,Automobile Components,Machinery purchase,2024-12-25
SME-000020,SME-000020,Pioneer Advertising Group,Pioneer Advertising Group,GZJJD5010G,29GZJJD9021EZT,9994878064,pioneer20@yahoo.co.in,Kabir Thakkar,797,797,4400000,4400000,700000,700000,22,22,term_loan,term_loan,3160000.0,3160000.0,Bengaluru,Manufacturing,Shop renovation,2024-11-17
SME-000021,SME-000021,Atharva International Associates,Atharva International Associates,HKOBZ7267B,29HKOBZ1438DZA,9456239236,atharva21@gmail.com,Madhav Dagar,597,597,4600000,4600000,800000,800000,16,16,working_capital,working_capital,0,0,Bengaluru,IT / Software Services,Technology upgrade,2024-04-28
SME-000022,SME-000022,Vajra Packaging Pvt Ltd,Vajra Packaging Pvt Ltd,EWDZG3068W,29EWDZG4568NZM,9746550628,vajra22@rediffmail.com,Riya Chitale,866,866,17000000,17000000,2700000,2700000,7,7,term_loan,term_loan,22320000.0,22320000.0,Bengaluru,Healthcare,Inventory purchase,2025-07-20
SME-000023,SME-000023,Quality Manufacturing Pvt Ltd,Quality Manufacturing Pvt Ltd,UDIOL2630Z,36UDIOL8932DZB,9943237799,quality23@yahoo.co.in,Nisha Muthusamy,792,792,2500000,2500000,1400000,1400000,18,18,term_loan,term_loan,3680000.0,3680000.0,Hyderabad,IT / Software Services,Export financing,2024-08-18
SME-000024,SME-000024,Superior Finance Associates,Superior Finance Associates,HPDYA9849L,29HPDYA6926MZH,9187217836,superior24@gmail.com,Shashi Agrawal,742,742,1900000,1900000,1100000,1100000,8,8,invoice_discounting,invoice_discounting,0,0,Bengaluru,Healthcare,Project finance,2025-08-25
SME-000025,SME-000025,Jayalakshmi Motors Pvt Ltd,Jayalakshmi Motors Pvt Ltd,GNLTA9533H,29GNLTA2691TZL,9140412611,jayalakshmi25@yahoo.co.in,Aayat Mathew,748,748,4800000,4800000,2200000,2200000,14,14,project_finance,project_finance,2960000.0,2960000.0,Bengaluru,Food Processing,Export financing,2024-10-10
SME-000026,SME-000026,Celestial Fashions Pvt Ltd,Celestial Fashions Pvt Ltd,ZSTAE5008D,07ZSTAE8529TZN,9787275112,celestial26@outlook.com,Urvashi Joseph,863,863,5600000,5600000,1000000,1000000,22,22,term_loan,term_loan,8000000.0,8000000.0,Delhi,IT / Software Services,Business expansion,2024-04-02
SME-000027,SME-000027,Shiva Print Associates,Shiva Print Associates,LPXOD8282B,33LPXOD9201YZE,9407354332,shiva27@outlook.com,Abhijit Hariharan,782,782,2000000,2000000,600000,600000,15,15,term_loan,term_loan,1440000.0,1440000.0,Coimbatore,Retail Trade,Technology upgrade,2025-03-13
SME-000028,SME-000028,Kaveri Castings Pvt Ltd,Kaveri Castings Pvt Ltd,GAVAR8109D,29GAVAR9928YZO,9660429850,kaveri28@gmail.com,Vishnu George,868,868,4800000,4800000,1000000,1000000,20,20,project_finance,project_finance,2450000.0,2450000.0,Bengaluru,Automobile Components,Invoice financing,2024-11-09
SME-000029,SME-000029,Maxim Projects Group,Maxim Projects Group,LAHKD1289I,29LAHKD6429FZN,9606379159,maxim29@gmail.com,Aazeen Sarkar,767,767,1500000,1500000,700000,700000,6,6,working_capital,working_capital,0,0,Bengaluru,Retail Trade,Export financing,2025-05-22
SME-000030,SME-000030,Vega Garments Co-op,Vega Garments Co-op,QJLPC3860X,29QJLPC4704BZW,9923703553,vega30@rediffmail.com,Parth Joseph,841,841,7800000,7800000,900000,900000,5,5,invoice_discounting,invoice_discounting,0,0,Bengaluru,Retail Trade,Machinery purchase,2025-02-13
